'resource_group_id','display_label','description'
'YbC70NLzOHFFj-PVfntjDg','MnEaaS_test','MnEaaS_test'
'UCrSmLBcn_4MZ7Tr0QmX9w','My test group','Test group'
'Qrz3QFUP7tZQ-hWwA1fg1w','Test_monsol_v7','v1'
'kCzPwzfOhh8bC-KnIIPGUA','ann_AIX OS','Set of M&amp;EaaS best practices Thresholds for AIX operating system'
'lKKh_4lMkVLJ6-nQOquhAw','ann_AIX OS (GSMA)','Set of M&amp;EaaS best practices Thresholds for AIX operating system (GSMA/BlueCARE Agent)'
'l86TZJ9P-7z8iK_7a_DYlQ','ann_Active Directory','Set of M&amp;EaaS best practices Thresholds for Active Directory'
'BsQ41t0vYD0jWQodx_iMjA','ann_Cassandra Database','Set of M&amp;EaaS best practices Thresholds for Cassandra Database'
'tjFhQQzsGfmZlU7LAqE2mg','ann_DB2 Server','Set of M&amp;EaaS best practices Thresholds for DB2 Server'
'YJy3jnWfoRpj7GOUDApkCg','ann_HMC Base','Set of M&amp;EaaS best practices Thresholds for HMC'
'ygYfKQfjG5AVuI2bj1lzbg','ann_HTTP Server','Set of M&amp;EaaS best practices Thresholds for HTTP Server (Apache, IBM HTTP Server)'
'qiHlFfxfqybEigvz5iXC6A','ann_IBM Spectrum Protect','Set of M&amp;EaaS Best Practices Thresholds for IBM Spectrum Protect (TSM)'
'pxvPDs0bjMUvg25VPR8uKQ','ann_IBM Workload Scheduler','Set of M&amp;EaaS Best Practices Thresholds for IBM Workload Scheduler (TWS)'
'xHcZy1Ar03LskPz2m3hRVQ','ann_Linux OS','Set of M&amp;EaaS best practices Thresholds for Linux operating systems (SUSE/RedHat)'
'jlJOWzX8Xh283-6hzYIqZA','ann_Linux OS (GSMA)','Set of M&amp;EaaS best practices Thresholds for Linux operating system (GSMA/BlueCARE Agent)'
'eU-lDZD4vGWPp4qZeHYy8g','ann_LogFiles','Set of M&amp;EaaS best practices Thresholds for Log Files'
'rI56kbFbaSYEoLc_cUmwpQ','ann_Microsoft Cluster Server','Set of M&amp;EaaS best practices Thresholds for Microsoft Cluster Server'
